study_id_clean,study_label,author,year,year_online,country,region,design,diagnosis,n_total,pct_male,mean_age,timepoint_months,follow_up_months,outcome_basis,outcome_measure,outcome_definition,definition_class,population_fep,overlapping_cohort,events,n_assessed,attrition,vocational_exposure,exposure_verified,quality_rating,in_primary_set,in_point_relaxed_set,in_period_set,in_legacy_set,events_raw,n_assessed_raw,timepoint_months_raw,reported_es,notes,report_id,result_id
KILLACKEY_2008,Killackey 2008,Killackey,2008,2008,Australia,Oceania,RCT,FEP,41,80.5,21.4,6,6,period,Competitive employment,Obtained competitive employment during 6-month follow-up period,competitive_or_paid,TRUE,FALSE,15,41,0,part,yes,Strong,FALSE,FALSE,TRUE,TRUE,15,41,6,0.366,,17,KILLACKEY_2008__proportion__competitive_employment__6m
KILLACKEY_2019,Killackey 2019,Killackey,2019,2019,Australia,Oceania,RCT,FEP,146,69.2,20.4,6,18,period,Competitive employment,Worked at least 1 day in paid employment during 0_6 month follow-up period (arms pooled),competitive_or_paid,TRUE,FALSE,76,126,0.136986301369863,part,yes,Strong,FALSE,FALSE,TRUE,TRUE,76,126,12,0.603,,19,KILLACKEY_2019__proportion__competitive_employment__12m
LIN_2026,Lin 2026,Lin,2026,2026,Asia-Pacific,Asia,Cohort,FES,474,65.6,28.6,12,18,point,Competitive employment,Full- or part-time employment at 12-month follow-up,competitive_or_paid,FALSE,FALSE,119,280,0.4092827004219409,none,yes,Weak,FALSE,TRUE,FALSE,TRUE,119,280,12,0.42000000000000004,,21,LIN_2026__proportion__competitive_employment__12m
MAJOR_2010,Major 2010,Major,2010,2010,UK,Europe,Cohort,FEP,114,62.3,24,12,12,period,Competitive employment,Gained or returned to competitive employment at any point during the 12-month follow-up period,competitive_or_paid,TRUE,FALSE,29,114,0,part,yes,Strong,FALSE,FALSE,TRUE,TRUE,29,114,12,0.254,,22,MAJOR_2010__proportion__competitive_employment__12m
NUECHTERLEIN_2020,Nuechterlein 2020,Nuechterlein,2020,2020,USA,North America,RCT,FES,69,67,24.6,18,18,period,Competitive employment,Competitive employment during at least part of the 7_18 month period,competitive_or_paid,TRUE,FALSE,30,51,0.26086956521739135,all,yes,Strong,FALSE,FALSE,TRUE,TRUE,30,51,18,0.588,,24,NUECHTERLEIN_2020__proportion__competitive_employment__18m
POTHIER_2019,Pothier 2019,Pothier,2019,2019,Canada,North America,Cohort,FEP,27,81.5,24.9,6,6,point,Competitive employment,Full-time competitive occupation at 6-month follow-up,competitive_or_paid,TRUE,FALSE,11,27,0,NA,no,Moderate,TRUE,TRUE,FALSE,TRUE,11,27,6,0.40700000000000003,,26,POTHIER_2019__proportion__competitive_employment__6m
RINALDI_2004,Rinaldi 2004,Rinaldi,2004,2004,UK,Europe,Cohort,FEP,40,72,21,12,12,point,Open employment,Competitive open employment at 12-month follow-up,competitive_or_paid,TRUE,TRUE,9,22,0.44999999999999996,all,yes,Weak,FALSE,TRUE,FALSE,TRUE,9,22,12,0.40900000000000003,,27,RINALDI_2004__proportion__open_employment__12m
RINALDI_2010,Rinaldi 2010,Rinaldi,2010,2010,UK,Europe,Cohort,FEP,166,69,22,12,24,point,Open employment,Competitive open employment at 12-month follow-up,competitive_or_paid,TRUE,FALSE,62,142,0.14457831325301207,all,yes,Weak,TRUE,TRUE,FALSE,TRUE,62,142,12,0.43700000000000006,,28,RINALDI_2010__proportion__open_employment__12m
ROSENHECK_2017,Rosenheck 2017,Rosenheck,2017,2017,USA,North America,Cohort,FEP,404,72,23,12,24,point,Any participation in work,Any paid employment at 12-month follow-up,competitive_or_paid,TRUE,FALSE,64,282,0.301980198019802,part,no,Strong,TRUE,TRUE,FALSE,TRUE,64,282,12,0.227,,29,ROSENHECK_2017__proportion__any_participation_in_work__12m
TAPFUMANEYI_2015,Tapfumaneyi 2015,Tapfumaneyi,2015,2014,UK,Europe,Cohort,FEP,1013,65.3,23.3,12,12,period,Paid employment,Engaged in paid work (full or part-time) at any point during the 1-year follow-up period,competitive_or_paid,TRUE,FALSE,211,1013,0,NA,no,Moderate,FALSE,FALSE,TRUE,TRUE,211,1013,12,0.20800000000000002,,31,TAPFUMANEYI_2015__proportion__paid_employment__12m
TURNER_2019,Turner 2019,Turner,2019,2019,Ireland,Europe,Cohort,FEP,39,51.3,38,18,18,period,Paid employment,At least one month of paid employment during the follow-up period,competitive_or_paid,TRUE,FALSE,21,34,0.1282051282051282,all,no,Weak,FALSE,FALSE,TRUE,TRUE,21,34,18,0.618,"Follow-up was a mean of 19 months (range 2 to 44), not a fixed 18 months",32,TURNER_2019__proportion__paid_employment__18m
VANDUIN_2021,van Duin 2021,van Duin,2021,2021,Netherlands,Europe,RCT,FEP,73,71,27.05,18,18,point,Competitive employment,In competitive employment at 18-month follow-up,competitive_or_paid,TRUE,FALSE,25,56,0.23287671232876717,all,yes,Moderate,TRUE,TRUE,FALSE,TRUE,25,56,18,0.446,,33,VANDUIN_2021__proportion__competitive_employment__18m
WILLIAMS_2016,Williams 2016,Williams,2016,2016,Australia,Oceania,Cohort,FEP,11,54.5,21.5,6,6,point,Job retention,Maintaining original competitive employment at 6-month follow-up,retention,TRUE,FALSE,2,11,0,all,no,Weak,FALSE,TRUE,FALSE,TRUE,2,11,6,0.182,,35,WILLIAMS_2016__proportion__job_retention__6m
