study_id_clean,study_label,author,year,year_online,country,region,design,diagnosis,n_total,pct_male,mean_age,timepoint_months,follow_up_months,outcome_basis,outcome_measure,outcome_definition,definition_class,population_fep,overlapping_cohort,events,n_assessed,attrition,vocational_exposure,exposure_verified,quality_rating,in_primary_set,in_point_relaxed_set,in_period_set,in_legacy_set,events_raw,n_assessed_raw,timepoint_months_raw,reported_es,notes,report_id,result_id,conflict_grade,a24_strict_eligible,a33_eligible,a33_duration_sens_only,construct_verified,usable_point,usable_period,window_status,variable_window,baseline_selected,construct_reason,in_window,point_measure_ok,period_measure_ok,in_a33_point_primary,in_a33_point_duration_sens,in_a33_period,in_a33_variable_window,in_strict_a24_point,membership_reason
KILLACKEY_2008,Killackey 2008,Killackey,2008,2008,Australia,Oceania,RCT,FEP,41,80.5,21.4,6,6,period,Competitive employment,Obtained competitive employment during 6-month follow-up period,competitive_or_paid,TRUE,FALSE,15,41,0,part,yes,Strong,FALSE,FALSE,TRUE,TRUE,15,41,6,0.366,NA,17,KILLACKEY_2008__proportion__competitive_employment__6m,none,TRUE,TRUE,FALSE,Employment attained during months 0 to 6,FALSE,TRUE,period,FALSE,FALSE,Period measure (pooled arms),TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Period measure: A33 period set only
KILLACKEY_2019,Killackey 2019,Killackey,2019,2019,Australia,Oceania,RCT,FEP,146,69.2,20.4,6,18,period,Competitive employment,Worked at least 1 day in paid employment during 0_6 month follow-up period (arms pooled),competitive_or_paid,TRUE,FALSE,76,126,0.136986301369863,part,yes,Strong,FALSE,FALSE,TRUE,TRUE,76,126,12,0.603,NA,19,KILLACKEY_2019__proportion__competitive_employment__12m,definite,FALSE,TRUE,FALSE,Employment attained during months 0 to 6,FALSE,TRUE,period,FALSE,FALSE,Period measure (pooled arms; C01 to C03),TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Period measure: A33 period set only
LIN_2026,Lin 2026,Lin,2026,2026,Asia-Pacific,Asia,Cohort,FES,474,65.6,28.6,12,18,point,Competitive employment,Full- or part-time employment at 12-month follow-up,competitive_or_paid,FALSE,FALSE,119,280,0.4092827004219409,none,yes,Weak,FALSE,TRUE,FALSE,TRUE,119,280,12,0.42,NA,21,LIN_2026__proportion__competitive_employment__12m,none,TRUE,TRUE,FALSE,Not recoverable,FALSE,FALSE,fixed 12 months,FALSE,FALSE,119 of 280 not found in the report; 280 is the 18-month completer count; no usable row (A5 exclusion also stands),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No usable employment count: 119 of 280 not found in the report; 280 is the 18-month completer count; no usable row (A5 exclusion also stands)
MAJOR_2010,Major 2010,Major,2010,2010,UK,Europe,Cohort,FEP,114,62.3,24,12,12,period,Competitive employment,In competitive employment at any time during the 12-month follow-up (includes the 16 participants competitively employed at baseline who remained so),competitive_or_paid,TRUE,FALSE,29,114,0,part,yes,Strong,FALSE,FALSE,TRUE,TRUE,29,114,12,0.254,NA,22,MAJOR_2010__proportion__competitive_employment__12m,definite,FALSE,TRUE,FALSE,In competitive employment at any time during the 12-month follow-up,FALSE,TRUE,period,FALSE,FALSE,Label corrected (C26); period measure,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Period measure: A33 period set only
NUECHTERLEIN_2020,Nuechterlein 2020,Nuechterlein,2020,2020,USA,North America,RCT,FES,69,67,24.6,18,18,period,Competitive employment,Competitive employment during at least part of the 7_18 month period,competitive_or_paid,TRUE,FALSE,30,51,0.26086956521739135,all,yes,Strong,FALSE,FALSE,TRUE,TRUE,30,51,18,0.588,NA,24,NUECHTERLEIN_2020__proportion__competitive_employment__18m,none,TRUE,TRUE,FALSE,Competitive employment during months 7 to 18,FALSE,TRUE,period,FALSE,FALSE,Period measure; active vocational comparator,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Period measure: A33 period set only
POTHIER_2019,Pothier 2019,Pothier,2019,2019,Canada,North America,Cohort,FEP,27,81.5,24.9,6,6,point,Competitive employment,Full-time competitive occupation at 6-month follow-up,competitive_or_paid,TRUE,FALSE,11,27,0,NA,no,Moderate,TRUE,TRUE,FALSE,TRUE,11,27,6,0.407,NA,26,POTHIER_2019__proportion__competitive_employment__6m,possible,FALSE,TRUE,FALSE,Work-or-school composite,FALSE,FALSE,fixed 6 months,FALSE,FALSE,Composite of work and school; excluded from the paid-employment construct (A25),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No usable employment count: Composite of work and school; excluded from the paid-employment construct (A25)
RINALDI_2004,Rinaldi 2004,Rinaldi,2004,2004,UK,Europe,Cohort,FEP,40,72,21,12,12,point,Open employment,Competitive open employment at 12-month follow-up,competitive_or_paid,TRUE,TRUE,9,22,0.45,all,yes,Weak,FALSE,TRUE,FALSE,TRUE,9,22,12,0.409,NA,27,RINALDI_2004__proportion__open_employment__12m,possible,FALSE,TRUE,FALSE,Competitive employment at 12 months,TRUE,FALSE,fixed 12 months,FALSE,FALSE,Construct compatible; excluded from every pooled set for cohort overlap with Rinaldi 2010 (ETHOS service),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Cohort overlap (same service as a retained report): excluded from every pooled set
RINALDI_2010,Rinaldi 2010,Rinaldi,2010,2010,UK,Europe,Cohort,FEP,166,69,22,12,24,point,Open employment,Competitive open employment at 12-month follow-up,competitive_or_paid,TRUE,FALSE,62,142,0.14457831325301207,all,yes,Weak,TRUE,TRUE,FALSE,TRUE,62,142,12,0.43700000000000006,NA,28,RINALDI_2010__proportion__open_employment__12m,possible,FALSE,TRUE,FALSE,Competitive employment at 12 months,TRUE,FALSE,fixed 12 months,FALSE,FALSE,Six-month denominator is completer-defined (audit note); 12-month row retained,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,A33 point-prevalence primary set
ROSENHECK_2017,Rosenheck 2017,Rosenheck,2017,2017,USA,North America,Cohort,FEP,404,72,23,12,24,point,Any participation in work,Any paid employment at 12-month follow-up,competitive_or_paid,TRUE,FALSE,64,282,0.301980198019802,part,no,Strong,TRUE,TRUE,FALSE,TRUE,64,282,12,0.227,NA,29,ROSENHECK_2017__proportion__any_participation_in_work__12m,possible,FALSE,TRUE,FALSE,Fitted GEE marginal means (no counts),FALSE,FALSE,fixed 12 months,FALSE,FALSE,"Table 1 gives model-fitted means, not counts; no usable prevalence row",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No usable employment count: Table 1 gives model-fitted means, not counts; no usable prevalence row"
TAPFUMANEYI_2015,Tapfumaneyi 2015,Tapfumaneyi,2015,2014,UK,Europe,Cohort,FEP,1013,65.3,23.3,12,12,period,Paid employment,Engaged in paid work (full or part-time) at any point during the 1-year follow-up period,competitive_or_paid,TRUE,FALSE,211,1013,0,NA,no,Moderate,FALSE,FALSE,TRUE,TRUE,211,1013,12,0.208,NA,31,TAPFUMANEYI_2015__proportion__paid_employment__12m,definite,FALSE,TRUE,FALSE,Paid employment at any time during the first year,FALSE,TRUE,period,FALSE,FALSE,Period measure; London services overlap with Major 2010 and the Rinaldi reports (cohort flag),TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Period measure: A33 period set only
TURNER_2019,Turner 2019,Turner,2019,2019,Ireland,Europe,Cohort,FEP,39,51.3,38,18,18,period,Paid employment,At least one month of paid employment during the follow-up period,competitive_or_paid,TRUE,FALSE,21,34,0.1282051282051282,all,no,Weak,FALSE,FALSE,TRUE,TRUE,21,34,18,0.618,"Variable follow-up: one interview per participant at a mean of 18 months (SD 12; range 2 to 44), so part of the sample was assessed outside the 6 to 24 month window; excluded from the fixed-window sets and reported in the variable-follow-up analysis only (A36). The historical C11 note gives the mean as 19; the Results state 18",32,TURNER_2019__proportion__paid_employment__18m,possible,FALSE,TRUE,FALSE,At least one month of paid employment during a variable follow-up,FALSE,FALSE,variable (2 to 44 months),TRUE,FALSE,Outside the fixed window; variable-follow-up analysis only (C27),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Variable follow-up: separately labelled analysis only
VANDUIN_2021,van Duin 2021,van Duin,2021,2021,Netherlands,Europe,RCT,FEP,73,71,27.05,18,18,period,Competitive employment,In competitive employment at any time during the six months before the 18-month assessment (months 12 to 18),competitive_or_paid,TRUE,FALSE,25,56,0.23287671232876717,all,yes,Moderate,TRUE,TRUE,FALSE,TRUE,25,56,18,0.446,NA,33,VANDUIN_2021__proportion__competitive_employment__18m,none,TRUE,TRUE,FALSE,Competitive employment during a six-month period ending at 18 months,FALSE,TRUE,period,FALSE,FALSE,"Audit: the employment rate is a six-month period measure, not a point prevalence; period set only",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Period measure: A33 period set only
WILLIAMS_2016,Williams 2016,Williams,2016,2016,Australia,Oceania,Cohort,FEP,11,54.5,21.5,6,6,point,Job retention,Maintaining original competitive employment at 6-month follow-up,retention,TRUE,FALSE,2,11,0,all,no,Weak,FALSE,TRUE,FALSE,TRUE,2,11,6,0.182,NA,35,WILLIAMS_2016__proportion__job_retention__6m,definite,FALSE,TRUE,FALSE,Retention of the baseline job,FALSE,FALSE,fixed 6 months,FALSE,TRUE,Sample selected on baseline employment (Job in Jeopardy); not a prevalence sample (A25),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sample selected on baseline employment: not a prevalence sample
