study_id_clean,li_row,li_effect_type,li_timepoint,li_basis,li_outcome,li_events,li_n_assessed,li_events_int,li_n_int,li_events_con,li_n_con,li_page,rel_timepoint,rel_basis,rel_events,rel_n_assessed,rel_sets,rel_events_int,rel_n_int,rel_events_con,rel_n_con,counts_agree,timepoint_label_same,release_comparison
MAJOR_2010,MAJOR_001,proportion,0_12,period,Gained or returned to competitive employment at any point during the 12-month follow-up period,29,114,,,,,p.5 Table 2; Results,12,period,29,114,a33_period,,,,,TRUE,FALSE,counts agree with release input
MAJOR_2010,MAJOR_002,trial_binary,0_12,period,Gained or returned to competitive employment at any point during the 12-month follow-up period,,,16,44,13,70,,12,period,29,114,a33_period,,,,,,,no release trial row
NUECHTERLEIN_2020,NUECHTERLEIN_001,proportion,7_18,period,Competitive employment during at least part of the 7_18 month period,30,51,,,,,p.8 Figure 4,18,period,30,51,a33_period,,,,,TRUE,FALSE,counts agree with release input
NUECHTERLEIN_2020,NUECHTERLEIN_002,trial_binary,7_18,period,Competitive employment during at least part of the 7_18 month period,,,25,36,5,15,,18,period,30,51,a33_period,,,,,,,no release trial row
POTHIER_2019,POTHIER_001,proportion,6,point,Full-time competitive occupation at 6-month follow-up,11,27,,,,,p.4 Results; Table 2,6,point,11,27,,,,,,TRUE,TRUE,counts agree with release input
RINALDI_2004,RINALDI_001,proportion,12,point,Competitive open employment at 12-month follow-up,9,22,,,,,p.3 Table 2,12,point,9,22,,,,,,TRUE,TRUE,counts agree with release input
RINALDI_2010,RINALDI_001,proportion,12,point,Competitive open employment at 12-month follow-up,62,142,,,,,p.5 Table II,12,point,62,142,a33_point_primary; a33_point_duration_sens,,,,,TRUE,TRUE,counts agree with release input
ROSENHECK_2017,ROSENHECK_001,proportion,6,point,Any paid employment at 12-month follow-up,71,315,,,,,p.5 Results; p.6 Table 1,12,point,64,282,,,,,,FALSE,FALSE,counts differ from release input
ROSENHECK_2017,ROSENHECK_002,trial_binary,6,point,Any paid employment at 24-month follow-up,,,38,182,33,133,,12,point,64,282,,,,,,,,no release trial row
TAPFUMANEYI_2015,TAPFUMANEYI_001,proportion,0_12,period,Engaged in paid work (full or part-time) at any point during the 1-year follow-up period,211,1013,,,,,p.4 Results,12,period,211,1013,a33_period,,,,,TRUE,FALSE,counts agree with release input
TURNER_2019,TURNER_001,proportion,2_44,period,At least one month of paid employment during the follow-up period,21,34,,,,,p.6 Results,18,period,21,34,a33_variable_window,,,,,TRUE,FALSE,counts agree with release input
VANDUIN_2021,VANDUIN_001,proportion,18,point,In competitive employment at 18-month follow-up,25,56,,,,,p.5 Table 2,18,period,25,56,a33_period,,,,,TRUE,TRUE,counts agree with release input
VANDUIN_2021,VANDUIN_002,trial_binary,18,point,In competitive employment at 18-month follow-up,,,18,29,7,27,,18,period,25,56,a33_period,,,,,,,no release trial row
WILLIAMS_2016,WILLIAMS_002,proportion,6,point,Maintaining original competitive employment at 6-month follow-up,2,11,,,,,p.4 Table 3,6,point,2,11,,,,,,TRUE,TRUE,counts agree with release input
