result_uid,report_id,study_id_clean,registry_key,cohort_id,design,allocation_unit,intervention_package,comparator_identity,treatment_duration_months,outcome_construct,outcome_basis,reference_period_start_months,reference_period_end_months,assessment_time_months,closest_eligible_to_12m,baseline_employment_selection,arm,numerator,denominator,denominator_type,n_randomised_or_enrolled,missingness_note,follow_up_after_withdrawal,design_adjusted_effect,design_adjusted_se_or_ci,ascertainment,source_page,verbatim_quote,currently_used,matches_current_result_id,discrepancy_note,extractor,checker,check_date,unresolved_disagreement
R01_11,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,other (describe),point,6,6,6,n.a.,whole cohort,whole sample,20,95,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.5, Figure 4",The proportion of subjects studying was low and never reached the premorbid level (Fig. 4).,no,,NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Studying full time or part time.,"Claude Opus draft, 2026-09-06",,,
R01_12,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,"vocational activity (employment, education or training)",point,12,12,12,no,whole cohort,whole sample,52,91,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.4, Figure 1","From 68% of subjects having a productive occupation (work, studies, stay-at-home mothers), at some point during the year prior to admission, the occupation level dropped to 47% the month before admission and remained stable until admission.",yes,ABDELBAKI_2013__proportion__competitive_employment__12m,"NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Productive occupation explicitly includes stay-at-home mothers as well as work and studies. THE CURRENT ROW 55/97 IS NOT SUPPORTED: the 12-month denominator is 91, not 97, and 55 appears to have been produced by applying the abstract's 57.1% to 97. The 57.1% figure is productive occupation (work, studies or stay-at-home parenting), not paid employment; 52/91 = 57.1%.","Claude Opus draft, 2026-09-06",,,
R01_13,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,any employment,point,12,12,12,yes,whole cohort,whole sample,40,91,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.4, Figure 2","FIGURE 2. Employment in first-episode psychosis. Full time, Part time, None.",no,,"NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Full-time plus part-time employment. Figure 3's denominator label at each time point equals this count, which independently confirms the reconstruction.","Claude Opus draft, 2026-09-06",,,
R01_14,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,competitive employment,point,12,12,12,no,whole cohort,whole sample,34,40,outcome_specific,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.5, Figure 3","Throughout the study, more than 80% of those working had obtained competitive employment, with very few needing specific mental health work rehabilitation programmes.",no,,"NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. DENOMINATOR IS THOSE WORKING, NOT THE ASSESSED COHORT. Regular work was considered as competitive employment that paid at least minimum wages. At 60 months Figure 3 labels n = 28 whereas Figure 2 implies 32 employed.","Claude Opus draft, 2026-09-06",,,
R01_15,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,other (describe),point,12,12,12,n.a.,whole cohort,whole sample,22,91,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.5, Figure 4",The proportion of subjects studying was low and never reached the premorbid level (Fig. 4).,no,,NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Studying full time or part time.,"Claude Opus draft, 2026-09-06",,,
R01_16,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,"vocational activity (employment, education or training)",point,18,18,18,no,whole cohort,whole sample,42,83,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.4, Figure 1","From 68% of subjects having a productive occupation (work, studies, stay-at-home mothers), at some point during the year prior to admission, the occupation level dropped to 47% the month before admission and remained stable until admission.",no,,NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Productive occupation explicitly includes stay-at-home mothers as well as work and studies.,"Claude Opus draft, 2026-09-06",,,
R01_17,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,any employment,point,18,18,18,no,whole cohort,whole sample,32,83,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.4, Figure 2","FIGURE 2. Employment in first-episode psychosis. Full time, Part time, None.",no,,"NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Full-time plus part-time employment. Figure 3's denominator label at each time point equals this count, which independently confirms the reconstruction.","Claude Opus draft, 2026-09-06",,,
R01_18,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,competitive employment,point,18,18,18,no,whole cohort,whole sample,29,32,outcome_specific,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.5, Figure 3","Throughout the study, more than 80% of those working had obtained competitive employment, with very few needing specific mental health work rehabilitation programmes.",no,,"NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. DENOMINATOR IS THOSE WORKING, NOT THE ASSESSED COHORT. Regular work was considered as competitive employment that paid at least minimum wages. At 60 months Figure 3 labels n = 28 whereas Figure 2 implies 32 employed.","Claude Opus draft, 2026-09-06",,,
R01_19,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,other (describe),point,18,18,18,n.a.,whole cohort,whole sample,17,83,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.5, Figure 4",The proportion of subjects studying was low and never reached the premorbid level (Fig. 4).,no,,NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Studying full time or part time.,"Claude Opus draft, 2026-09-06",,,
R01_20,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,"vocational activity (employment, education or training)",point,24,24,24,no,whole cohort,whole sample,50,76,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.4, Figure 1","From 68% of subjects having a productive occupation (work, studies, stay-at-home mothers), at some point during the year prior to admission, the occupation level dropped to 47% the month before admission and remained stable until admission.",no,,NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Productive occupation explicitly includes stay-at-home mothers as well as work and studies.,"Claude Opus draft, 2026-09-06",,,
R01_21,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,any employment,point,24,24,24,no,whole cohort,whole sample,44,76,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.4, Figure 2","FIGURE 2. Employment in first-episode psychosis. Full time, Part time, None.",no,,"NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Full-time plus part-time employment. Figure 3's denominator label at each time point equals this count, which independently confirms the reconstruction.","Claude Opus draft, 2026-09-06",,,
R01_22,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,competitive employment,point,24,24,24,no,whole cohort,whole sample,38,44,outcome_specific,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.5, Figure 3","Throughout the study, more than 80% of those working had obtained competitive employment, with very few needing specific mental health work rehabilitation programmes.",no,,"NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. DENOMINATOR IS THOSE WORKING, NOT THE ASSESSED COHORT. Regular work was considered as competitive employment that paid at least minimum wages. At 60 months Figure 3 labels n = 28 whereas Figure 2 implies 32 employed.","Claude Opus draft, 2026-09-06",,,
R01_23,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,other (describe),point,24,24,24,n.a.,whole cohort,whole sample,17,76,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.5, Figure 4",The proportion of subjects studying was low and never reached the premorbid level (Fig. 4).,no,,NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Studying full time or part time.,"Claude Opus draft, 2026-09-06",,,
R01_24,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,"vocational activity (employment, education or training)",point,36,36,36,no,whole cohort,whole sample,46,71,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.4, Figure 1","From 68% of subjects having a productive occupation (work, studies, stay-at-home mothers), at some point during the year prior to admission, the occupation level dropped to 47% the month before admission and remained stable until admission.",no,,NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Productive occupation explicitly includes stay-at-home mothers as well as work and studies.,"Claude Opus draft, 2026-09-06",,,
R01_25,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,any employment,point,36,36,36,no,whole cohort,whole sample,40,71,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.4, Figure 2","FIGURE 2. Employment in first-episode psychosis. Full time, Part time, None.",no,,"NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Full-time plus part-time employment. Figure 3's denominator label at each time point equals this count, which independently confirms the reconstruction.","Claude Opus draft, 2026-09-06",,,
R01_26,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,competitive employment,point,36,36,36,no,whole cohort,whole sample,36,40,outcome_specific,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.5, Figure 3","Throughout the study, more than 80% of those working had obtained competitive employment, with very few needing specific mental health work rehabilitation programmes.",no,,"NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. DENOMINATOR IS THOSE WORKING, NOT THE ASSESSED COHORT. Regular work was considered as competitive employment that paid at least minimum wages. At 60 months Figure 3 labels n = 28 whereas Figure 2 implies 32 employed.","Claude Opus draft, 2026-09-06",,,
R01_27,R01,ABDELBAKI_2013,abdelbaki2013,ABDELBAKI_2013,Single-arm descriptive cohort (file review) within a 5-year first-episode psychosis programme,n.a.,Vocational case management adopting IPS principles integrated within the Clinique JAP early intervention programme,none,60,other (describe),point,36,36,36,n.a.,whole cohort,whole sample,16,71,available_case,"97 analysed (136 admitted, 114 met inclusion criteria)","Numbers assessed fall over time: 97 at admission and 3 months, 95 at 6 months, 91 at 12 months, 83 at 18 months, 76 at 24 months, 71 at 36 months, 66 at 48 months and 58 (labelled) at 60 months; percentages use those still assessed",no (those lost to follow-up or transferred out drop out of the denominator),,,chart or records (data collected by file review),"PDF p.5, Figure 4",The proportion of subjects studying was low and never reached the premorbid level (Fig. 4).,no,,NUMERATOR NOT PRINTED: reconstructed as the printed percentage multiplied by the printed n at that time point. Studying full time or part time.,"Claude Opus draft, 2026-09-06",,,
