report_id,study_id_clean,registry_key,cohort_id,doi,first_author,print_year,design,country_setting,diagnostic_criteria,diagnostic_composition_as_reported,pct_bipolar,pct_substance_induced,comorbid_substance_use_note,duration_definition,duration_mean_sd,duration_range_or_max,stated_eligibility_window,age_range_or_mean,eligible_subgroup_extractable,subgroup_counts_if_reported,source_page,verbatim_quote,conflict_with_prospero_v2,decision,rationale,amendment_ref,possible_cohort_overlap,extractor,checker,check_date,unresolved_disagreement,decision_a24_strict,decision_a33
R11,ERICKSON_2021,erickson2021,ERICKSON_2021,10.1111/eip.13005,Erickson,2021,Assessor-blinded randomised clinical trial of 12 months of IPS added to treatment as usual versus treatment as usual alone,"Canada; population-based Early Psychosis Intervention programme, Fraser Health Authority, British Columbia; hub-and-spoke community service",Diagnoses extracted from the clinical record; no structured diagnostic instrument or classification system reported,"IPS (n=56) versus TAU (n=53): schizophrenia-spectrum 27 (48%) vs 28 (53%) [schizophreniform n=5, schizophrenia n=41, schizoaffective n=9]; bipolar 11 (20%) vs 9 (17%); major depression 4 (7%) vs 6 (11%); psychosis NOS 10 (18%) vs 7 (13%); other 4 (7%) vs 3 (6%), where other includes substance-induced psychosis n=5, delusional disorder n=1 and Asperger's n=1",18.3 (20 of 109 randomised; 20% IPS and 17% TAU),"4.6 (5 of 109 randomised, within the Other category)","Not reported; the 5 substance-induced psychoses are primary diagnoses, not comorbidity","Not stated; no duration of illness, time since onset or DUP reported",not reported,not reported,"All interested and consenting EPI clients aged 18 to 30 were eligible, consistent with IPS zero-exclusion principles; recruited April 2015 to March 2017",18-30; mean 23.4 (SD 3.5) IPS and 22.7 (SD 3.3) TAU,no,"Diagnostic counts are given at baseline but employment outcomes are not reported by diagnostic category, so no eligible-subgroup employment or arm-allocation data can be extracted","PDF p.2, Methods 2.2 Participants; PDF p.4 (printed p.665), Table 1 and footnotes a and b","Table 1: ""Diagnosis Schiz.-spectrum 27(48%) 28 (53%); Bipolar 11(20%) 9 (17%); Major Depression 4 (7%) 6 (11%); Psychosis NOS 10 (18%) 7 (13%); Other 4 (7%) 3 (6%)""; footnote b: ""Includes substance-induced psychosis (n = 5); delusional disorder (1); Aspergers (1).""",definite,eligible under A33 (recruited from a population-based Early Psychosis Intervention programme; IPS zero-exclusion admission satisfies the first-treatment measure; bipolar and substance-induced psychosis both count as non-organic psychosis under A33),Recruitment from the population-based Early Psychosis Intervention programme with IPS zero-exclusion eligibility (stated_eligibility_window) satisfies criterion (i); bipolar (20%) and substance-induced psychosis count as eligible under A33.,A33 (A24 strict recorded in decision_a24_strict),None identified,"Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),eligible under A33 (recruited from a population-based Early Psychosis Intervention programme; IPS zero-exclusion admission satisfies the first-treatment measure; bipolar and substance-induced psychosis both count as non-organic psychosis under A33)
R12,KILLACKEY_2008,killackey2008,KILLACKEY_2008,10.1192/bjp.bp.107.043109,Killackey,2008,Randomised controlled trial of 6 months of IPS plus treatment as usual versus treatment as usual alone,"Australia; Early Psychosis Prevention and Intervention Centre (EPPIC), Melbourne; public specialist first-episode service, catchment about 1 million","Structured Clinical Interview for DSM-IV-TR Axis I Disorders, Patient Edition (SCID-I/P); clinical diagnoses from a specialised first-episode psychosis service","All 41 participants had clinical diagnoses of schizophrenia-spectrum disorders. Comorbidity on SCID-I/P: 20 had a mood diagnosis, 1 a pervasive developmental disorder, 3 anxiety diagnoses, 23 substance use diagnoses, 7 other diagnoses; only 5 had no comorbid disorder","0 (all participants had primary schizophrenia-spectrum diagnoses; 20 had comorbid mood diagnoses, not primary bipolar psychosis)",0 (all primary diagnoses were schizophrenia-spectrum),"23 of 41 had a comorbid substance use diagnosis on SCID-I/P; this is comorbidity alongside a primary psychotic disorder, not substance-induced psychosis",Time in first-episode service care; EPPIC provides a maximum of 18 months of care and participants needed at least 6 months of care remaining,not reported,EPPIC care limited to 18 months; participants had at least 6 months of care left at entry,EPPIC clients aged 15-25 attending a specialist first-episode psychosis service who wanted help finding work and had at least 6 months of care left; sole exclusion was lack of fluency in English,EPPIC service range 15-25,yes,"Whole randomised sample (IPS n=20, TAU n=21) is the eligible population; employment outcomes reported by arm","PDF p.1 (printed p.114), Method/Participants; PDF p.3 (printed p.116), Results/Baseline data","""All participants were patients of a specialised public first-episode psychosis service and had received clinical diagnoses of schizophrenia-spectrum disorders. On assessment with the SCID-I/P, in addition to their primary psychotic disorders, all but 5 had other comorbid disorders: 20 had a mood diagnosis ... 23 had substance use diagnoses ...""",none,"eligible under A33 (EPPIC specialist first-episode psychosis service; EPPIC care limited to 18 months, with at least 6 months of care remaining at entry)","Recruited from EPPIC, a specialist first-episode psychosis service, with EPPIC care limited to 18 months and at least 6 months of care remaining at entry (duration_range_or_max).",A33 (A24 strict recorded in decision_a24_strict),"Same EPPIC service as Killackey 2019, but recruitment for this pilot ran October 2005 to April 2006 whereas Killackey 2019 recruited over a later 3-year period; participant overlap unlikely but service-level overlap should be recorded. Nuechterlein 2020 notes personal communication that EPPIC screened out possible substance-induced psychosis","Claude Opus draft, 2026-09-06",RT,2026-09-10,,eligible for strict set (A24),"eligible under A33 (EPPIC specialist first-episode psychosis service; EPPIC care limited to 18 months, with at least 6 months of care remaining at entry)"
R13,KILLACKEY_2019,killackey2019,KILLACKEY_2019,10.1192/bjp.2018.191,Killackey,2019,"Single-blind randomised controlled trial of 6 months of IPS versus treatment as usual, with 12- and 18-month follow-up","Australia; Early Psychosis Prevention and Intervention Centre (EPPIC), Orygen Youth Health, west and north-west Melbourne; public first-episode service","Not stated; Table 2 reports DSM-IV Axis I psychotic disorder categories, with no diagnostic instrument named in the report",Total n=146: schizophreniform/schizophrenia 43.8% (64); schizoaffective disorder 13.0% (19); major depressive disorder with psychotic features 11.6% (17); bipolar disorder 13.7% (20); psychosis NOS 11.6% (17); other 6.2% (9). Comorbid substance use disorder 29.5% (43),13.7 (20 of 146),not reported (no substance-induced psychosis category; comorbid substance use disorder 29.5%),"Comorbid substance use disorder in 29.5% (21.9% IPS, 37.0% TAU); this is comorbidity, not substance-induced psychosis",Not stated; first-episode psychosis defined by EPPIC service entry,not reported,not reported (EPPIC treats young people with a first episode of psychosis in a defined catchment),EPPIC clients with first-episode psychosis in the service age range 15-25; exclusions were lack of fluency in English or inability to consent because of acute symptomatology; no other exclusion criteria,EPPIC service range 15-25,no,"Baseline diagnostic counts are given by arm in Table 2, but employment and education outcomes are not reported by diagnostic category, so no eligible-subgroup outcome data can be extracted","PDF p.2 (printed p.77), Method/Participants and Results/Sample characteristics; PDF p.4 (printed p.79), Table 2","""The most common psychotic disorders were schizophreniform/schizophrenia, followed by bipolar disorder and schizoaffective disorder."" Table 2: ""Bipolar disorder 13.7 (20) 12.3 (9) 15.1 (11)""; ""Major depressive disorder, psychotic features 11.6 (17)"".",definite,eligible under A33 (EPPIC clients with first-episode psychosis in the service age range 15-25; bipolar disorder (13.7%) and major depressive disorder with psychotic features (11.6%) both count as non-organic psychosis under A33),"EPPIC first-episode service sample; bipolar disorder (13.7%) and major depressive disorder with psychotic features (11.6%) are non-organic psychoses that count as eligible under A33, unlike A24.",A33 (A24 strict recorded in decision_a24_strict),"Same EPPIC service as Killackey 2008; different recruitment window (3-year period, later) so participant overlap is unlikely, but service-level overlap should be recorded","Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),eligible under A33 (EPPIC clients with first-episode psychosis in the service age range 15-25; bipolar disorder (13.7%) and major depressive disorder with psychotic features (11.6%) both count as non-organic psychosis under A33)
R14,NUECHTERLEIN_2020,nuechterlein2020,NUECHTERLEIN_2020,10.1017/S0033291718003860,Nuechterlein,2020,Randomised controlled trial of 18 months of IPS plus Workplace Fundamentals Module versus brokered vocational rehabilitation plus a social skills group,"USA; UCLA Aftercare Research Program first-episode clinic, recruiting from Los Angeles public and private psychiatric hospitals and clinics; outpatient","Research Diagnostic Criteria (Spitzer et al., 1978) for schizophrenia or schizoaffective disorder mainly schizophrenic subtype, supported by the SCID for DSM-IV plus informant and medical record information","n=69: RDC schizophrenia 58 (84%); schizoaffective disorder depressed type, mainly schizophrenic 10 (14%); schizoaffective disorder manic type, mainly schizophrenic 1 (2%)",0 (excluded by design),0 (excluded by design),"Significant habitual substance use disorder in the 6 months prior to hospitalisation was an exclusion, as was substance use that accounted for the psychotic symptoms",Time since onset of the first psychotic episode,not reported,"First psychotic episode beginning within the last 2 years, with psychotic symptoms lasting at least 2 weeks",Recent first psychotic episode beginning within the last 2 years; RDC schizophrenia or schizoaffective disorder mainly schizophrenic; aged 18-45; sufficient English; resident within commuting distance of UCLA; possible interest in resuming work or school,"Eligibility 18-45; randomised sample mean 24.5 (SD 4.1), range 18-38",yes,Whole randomised sample is the eligible population; work/school participation counts reported by arm (for example 34 of 41 IPS-WFM versus 9 of 22 BVR at 6 months),"PDF p.2 (printed p.21), Method/Participants","""Inclusion criteria were: (1) a recent first psychotic episode, beginning within the last 2 years (with psychotic symptoms lasting at least 2 weeks); (2) a diagnosis by Research Diagnostic Criteria (RDC) ... of schizophrenia or schizoaffective disorder, mainly schizophrenic subtype ..."" Excluded were those with ""substance use that accounted for the psychotic symptoms"".",none,eligible under A33 (first psychotic episode beginning within the last 2 years by explicit eligibility criterion; UCLA Aftercare first-episode clinic),"Stated eligibility window explicitly caps duration since first psychotic episode at 2 years, well within the A33 five-year measure.",A33 (A24 strict recorded in decision_a24_strict),None identified,"Claude Opus draft, 2026-09-06",RT,2026-09-10,,eligible for strict set (A24),eligible under A33 (first psychotic episode beginning within the last 2 years by explicit eligibility criterion; UCLA Aftercare first-episode clinic)
R15,LIN_2026,lin2026,LIN_2026,10.1016/j.psychres.2026.116955,Lin,2026,Post-hoc analysis of employment outcomes from a prospective multinational single-arm interventional study of once-monthly paliperidone palmitate over 18 months,Asia-Pacific region (multi-country); psychiatric services; outpatient/clinic-based,"DSM-IV-TR criteria for schizophrenia (American Psychiatric Association, 2000)",All participants have schizophrenia; no other diagnostic categories present in the analysed dataset (n=474),0 (excluded by design),0 (excluded by design; medication-induced psychiatric disorders and recent substance use disorder were exclusions),Recent substance use disorder was an exclusion criterion,Time since diagnosis of schizophrenia (years),not reported as mean; categorical distribution given,"0 to 5 years by design; 0 to under 1 year 177 (37.3%), 1 to under 2 years 72 (15.2%), 2 to under 3 years 78 (16.5%), 3 to under 4 years 82 (17.3%), 4 to 5 years 65 (13.7%)","Aged 18-50 and diagnosed with schizophrenia within the past 5 years (DSM-IV-TR), enrolled after unsuccessful treatment with prior antipsychotics; exclusions were treatment-resistant schizophrenia, medication-induced psychiatric disorders, recent substance use disorder, or clozapine/long-acting injectable use",18-50; mean 28.6 (SD 7.9),yes,Whole analysed sample (n=474) falls within the five-year window; employment percentages reported at each visit (28.1% at baseline rising to 45.4% at month 18),"PDF p.2, Methods 2.2 Patient population; PDF p.3, Table 1","""Eligible patients were aged 18-50 years old and diagnosed with schizophrenia within the past 5 years (DSM-IV-TR criteria ...). The 5-year criterion was one of the most commonly used definition for early-phase schizophrenia ... Exclusions included treatment-resistant schizophrenia, medication-induced psychiatric disorders, recent substance use disorder, or clozapine/LAI use.""",none,"eligible under A33 (diagnosed with schizophrenia within the past 5 years by explicit eligibility criterion, a recent-onset schizophrenia cohort; note the duration measure is time since diagnosis rather than time since onset or first treatment)","Stated eligibility window caps time since diagnosis of schizophrenia at 5 years in a recent-onset schizophrenia cohort, though duration_definition records time since diagnosis rather than onset or first treatment.",A33 (A24 strict recorded in decision_a24_strict),None identified,"Claude Opus draft, 2026-09-06",RT,2026-09-10,,eligible for strict set (A24),"eligible under A33 (diagnosed with schizophrenia within the past 5 years by explicit eligibility criterion, a recent-onset schizophrenia cohort; note the duration measure is time since diagnosis rather than time since onset or first treatment)"
R16,JACKEL_2025,jackel2025,JACKEL_2025,10.1002/brb3.70469,Jäckel,2025,Monocentre prospective randomised single-blind controlled parallel-group trial of 12 months of IPS plus standard care versus standard care alone,"Germany; outpatient psychiatric services at Klinikum am Urban, Berlin; low-threshold interdisciplinary service for young adults","Inclusion text cites DSM-5 criteria for schizophrenia-spectrum disorders, but Table 1 reports ICD-10 main diagnosis codes and the Methods state the diagnosis was validated by the treating psychiatrist based on ICD-10 criteria; this internal discrepancy should be adjudicated","Total n=94 (IPS n=48, TAU n=46) main diagnosis: F1x.5 (psychotic disorder due to psychoactive substance use) 23 (24.5%); F2x 50 (reported as 63.8% in Table 1, though 50/94 is 53.2%); F3x (mood disorders) 11 (11.7%). Secondary diagnosis 33 (35.1%); substance misuse 70 (74.5%)",not reported separately (bipolar disorder with psychotic features is explicitly permitted by the inclusion criteria; F3x mood disorders 11.7%),24.5 (23 of 94 with main diagnosis F1x.5),"Substance misuse recorded in 74.5% of the sample; separately, 24.5% have substance-induced psychosis as their main diagnosis, which is not comorbidity","Time since clinical diagnosis of a schizophrenia-spectrum disorder (within 5 years, modified after Bird et al. 2010)",not reported,Within 5 years of diagnosis by design,"Aged 18-35; stabilised mental disorder following a clinical diagnosis of schizophrenia-spectrum disorders within 5 years, where the inclusion definition explicitly covers schizophreniform disorder, schizophrenia, schizoaffective disorder, major depressive disorder with psychotic features, bipolar disorder with psychotic features and psychosis NOS; expressed interest in employment, education or training; recruited August 2017 to October 2021",18-35; mean 26.3 (SD 4.8),no,"Baseline main-diagnosis counts are reported, but EET outcomes are reported for the whole sample and for worker and education/training subgroups only, not by diagnostic category","PDF p.2, Section 2.3 Inclusion/Exclusion Criteria; PDF p.3, Section 2.4 (ICD-10 validation); PDF p.5, Table 1","""have a stabilized mental disorder following a clinical diagnosis of schizophrenia-spectrum disorders (DSM-V criteria: included schizophreniform disorder, schizophrenia, schizoaffective disorder, major depressive disorder with psychotic features, bipolar disorder with psychotic features, and psychosis NOS) within 5 years"". Table 1 main diagnosis: ""F1x.5, n (%) 23 (24.5)"".",definite,"eligible under A33 (stabilised diagnosis of a schizophrenia-spectrum disorder within 5 years by explicit eligibility criterion, low-threshold interdisciplinary service for young adults; bipolar disorder with psychotic features and substance-induced psychosis (F1x.5, 24.5%) both count as non-organic psychosis under A33)","Stated eligibility window caps time since diagnosis at 5 years; bipolar disorder with psychotic features and substance-induced psychosis (F1x.5, 24.5% of the sample) both count as eligible non-organic psychosis under A33, unlike A24.",A33 (A24 strict recorded in decision_a24_strict),None identified,"Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),"eligible under A33 (stabilised diagnosis of a schizophrenia-spectrum disorder within 5 years by explicit eligibility criterion, low-threshold interdisciplinary service for young adults; bipolar disorder with psychotic features and substance-induced psychosis (F1x.5, 24.5%) both count as non-organic psychosis under A33)"
R17,CHUA_2019,chua2019,CHUA_2019,10.1016/j.schres.2019.07.009,Chua,2019,"Retrospective cohort analysis of a prospective service registry; vocational outcomes after two years of early intervention, with symptom trajectory classes",Singapore; nationwide Early Psychosis Intervention Programme (EPIP) based at the Institute of Mental Health; inpatient and outpatient,DSM-IV-TR criteria recorded by the treating psychiatrist at baseline; PANSS and GAF completed at fixed time points,"Total n=1724: schizophrenia, schizophreniform and delusional disorder 1283 (74.4%); affective psychosis 151 (8.8%); brief psychotic disorder and psychotic disorder NOS 290 (16.8%)",not reported separately (mood disorders with psychotic features are explicitly eligible; affective psychosis category 8.8%),0 (excluded by design; psychotic disorder secondary to substance use not accepted into the programme),Not reported; only psychosis secondary to substance use is excluded at programme entry,Duration of untreated psychosis (months since onset of symptoms before treatment); first-episode psychotic disorder with no prior or minimal treatment,DUP mean 14.7 months (SD 26.4) overall; 12.4 (SD 22.2) among those meaningfully employed and 21.5 (SD 35.9) among those unemployed at two years,not reported,"Aged 16-40 inclusive; first-episode psychotic disorder with no prior or minimal treatment; psychotic disorder not secondary to a general medical condition or substance use; DSM-IV-TR schizophrenia, schizophreniform, schizoaffective, delusional, brief psychotic, psychotic disorder NOS or mood disorders with psychotic features",16-40; mean 27.5 (SD 6.5),yes,"Table 1 cross-tabulates two-year vocational outcome by diagnostic category, so a non-affective subgroup can be reconstructed: meaningfully employed 598 + 139 = 737 and unemployed 297 + 36 = 333, with affective psychosis (92 employed, 15 unemployed) removable","PDF p.2, Methods; PDF p.3, Table 1 (DSM-IV diagnosis rows)","""Psychotic Disorder is defined as meeting the ... (DSM-IV-TR) criteria for schizophrenia, schizophreniform disorder, schizoaffective disorder, delusional disorder, brief psychotic disorder, psychotic disorder not otherwise specified, or mood disorders with psychotic features."" Table 1: ""Affective psychosis 92 (11.1) 15 (4.3) 151 (8.8)"".",definite,"eligible under A33 (first-episode psychotic disorder with no prior or minimal treatment, nationwide Early Psychosis Intervention Programme; mood disorders with psychotic features (affective psychosis, 8.8%) count as non-organic psychosis under A33)","Stated eligibility window requires a first-episode psychotic disorder with no prior or minimal treatment, recruited from the nationwide Early Psychosis Intervention Programme; affective psychosis (8.8%) counts as eligible under A33.",A33 (A24 strict recorded in decision_a24_strict),None identified,"Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),"eligible under A33 (first-episode psychotic disorder with no prior or minimal treatment, nationwide Early Psychosis Intervention Programme; mood disorders with psychotic features (affective psychosis, 8.8%) count as non-organic psychosis under A33)"
R18,HUMENSKY_2017,humensky2017,HUMENSKY_2017,10.1037/prj0000256,Humensky,2017,"Observational analysis of all participants in a coordinated specialty care demonstration programme, with assessments every 6 months for up to 2 years",USA; RAISE Connection Program sites in Maryland and New York; coordinated specialty care with integrated supported education and employment,Not reported in this report; the paper states that inclusion criteria and demographic characteristics are available in the online appendix,"Not reported; Table 1 reports age, sex, cognition, symptoms and premorbid functioning by school/work status only",not reported,not reported,Participants reported substance abuse in the past 30 days as a covariate; comorbidity not otherwise described,Not stated; participants entered a first-episode coordinated specialty care programme and were followed for up to 2 years,not reported,not reported,All 65 individuals served by the RAISE Connection Program in Maryland and New York from 2011 to 2013; ages 15-35 years (16 and above in New York); inclusion criteria referred to an online appendix not contained in the PDF,15-35 (16-35 in New York); observed range 16-33,yes,"Whole programme cohort is the eligible population; school/work status counts reported as school only 19 (29%), work only 15 (23%), both 19 (29%), neither 12 (18%)","PDF p.1-2, Method/The RAISE CP; PDF p.3, Table 1","""RAISE CP served a total of 65 individuals in Maryland and New York from 2011 to 2013. Details of program implementation have been described elsewhere ...; inclusion criteria and demographic characteristics are available in the online appendix. Participants were ages 15-35 years (16 in New York) and were followed by the research study for up to 2 years.""",possible,"eligible under A33 (all participants served by the RAISE Connection Program, a first-episode coordinated specialty care demonstration programme, satisfying the first-treatment measure via service admission)","Recruitment from the RAISE Connection Program, a first-episode coordinated specialty care programme (design), satisfies the A33 first-treatment measure by service admission.",A33 (A24 strict recorded in decision_a24_strict),"RAISE Connection Program; distinct from the RAISE-ETP trial reported by Rosenheck 2017, but both are NIMH RAISE programmes and should be checked to confirm no participant overlap","Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),"eligible under A33 (all participants served by the RAISE Connection Program, a first-episode coordinated specialty care demonstration programme, satisfying the first-treatment measure via service admission)"
R19,MAJOR_2010,major2010,MAJOR_2010,10.1007/s00127-009-0034-4,Major,2010,Prospective cohort with naturalistic comparison group defined by borough of residence; 12-month vocational recovery outcomes using routinely collected data,"United Kingdom; early intervention service covering Camden and Islington, London; Camden residents could access the vocational intervention (VIBE), Islington residents formed the comparison group","Clinically determined diagnosis by psychiatrist; service definition of first-episode psychosis is psychotic symptoms (clinically defined delusions, hallucinations, passivity experiences or severe thought disorder) persisting at least 1 week and/or leading to admission or crisis team input; DUP measured with the shortened Nottingham Onset Schedule",n=114: schizophrenia 66 (58%); bipolar affective disorder 20 (18%); schizoaffective disorder 6 (5%); psychotic depression 6 (5%); unspecified non-organic psychosis 16 (14%),"17.5 (20 of 114, reported as 18%)","0 (excluded by design; patients excluded if symptoms were clearly drug-induced, narrowly defined)",Only clearly drug-induced psychosis (narrowly defined) was excluded; comorbid substance use not described,Duration of untreated psychosis (days from emergence of first positive psychotic symptom to initiation of treatment); no prior specialist psychosis diagnosis and no prior antipsychotic at therapeutic dose for 6 weeks or more,Median DUP 86 days (interquartile range 27-202),"DUP range 0-3650 days (up to 10 years), so some participants had psychotic symptoms present for more than five years before treatment","Consecutive new referrals aged 17-35 taken on for case management by the early intervention service between 2003 and 2006 for at least 12 months; excluded if already on antipsychotics at therapeutic dose for 6 weeks or more, previously diagnosed with a psychotic illness by a specialist service, prodromal, or symptoms secondary to personality disorder, PTSD or clearly drug-induced","17-35 at referral; mean 24 (SD 4.6), observed range 17-34",no,"Diagnostic counts are reported in Table 1, but vocational recovery outcomes are given only for the whole sample and as an odds ratio for diagnosis other than schizophrenia; no employment counts by diagnostic category","PDF p.3, Method/Sample; PDF p.4 (printed p.4), Results and Table 1 (clinical diagnosis rows)","Table 1: ""Clinical diagnosis (by psychiatrist) 66/114 (58%) schizophrenia; 20/114 (18%) bipolar affective disorder; 6/114 (5%) schizoaffective disorder; 6/114 (5%) psychotic depression; 16/114 (14%) unspecified non-organic psychosis"". ""The median DUP was 86 days (range 0-3,650).""",definite,"eligible under A33 (consecutive new referrals taken on for case management by the early intervention service satisfy the first-treatment measure even though DUP reaches 3650 days; bipolar affective disorder, psychotic depression and unspecified non-organic psychosis all count as non-organic psychosis under A33)",Consecutive new referrals to the early intervention service (stated_eligibility_window) satisfy the A33 first-treatment measure even though the DUP range reaches 3650 days; bipolar affective disorder (18%) and psychotic depression (5%) count as eligible.,A33 (A24 strict recorded in decision_a24_strict),"Camden and Islington early intervention service, 2003-2006. Camden and Islington are two of the seven London EIP teams contributing to Tapfumaneyi 2015 (2003-2010), so substantial participant overlap with that report is likely and should be adjudicated before both are used in the same analysis","Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),"eligible under A33 (consecutive new referrals taken on for case management by the early intervention service satisfy the first-treatment measure even though DUP reaches 3650 days; bipolar affective disorder, psychotic depression and unspecified non-organic psychosis all count as non-organic psychosis under A33)"
R20,RINALDI_2004,rinaldi2004,SWL_IPS_SERVICE,10.1192/pb.28.8.281,Rinaldi,2004,Observational service evaluation of integrating evidence-based supported employment into an early intervention service; before-and-after vocational status,"United Kingdom; Early Treatment and Home-based Outreach Service (ETHOS), South West London and St George's Mental Health NHS Trust; community EIP",Not stated; primary diagnosis recorded as a clinical variable from service records,n=40: schizophrenia 35 (88%); other psychosis 5 (12%). All 40 (100%) had less than 1 year of contact with the team at baseline,not reported (subsumed within other psychosis 12%),not reported,not reported,Duration of contact with the early intervention team (time since first treatment contact),not reported,All 40 clients had less than 1 year of contact with the team at baseline; ETHOS provides a maximum of 2 years of care,All 40 patients within the ETHOS service who received the vocational intervention; ETHOS provides community-based care for a maximum of 2 years to young people aged 17-30 with a first episode of psychosis,Service range 17-30; median age 21 (range 18-32),yes,Whole service cohort (n=40) is the eligible population; vocational outcome counts reported with denominators,"PDF p.1 (printed p.281), Method/Clinical team; PDF p.2 (printed p.282), Patients and Table 1","""It provides a comprehensive package of community-based care for a maximum of 2 years to young people (aged 17-30 years) with a first episode of psychosis."" Table 1: ""Less than 1 year contact with team at baseline (n (%)) 40 (100) ... Primary diagnosis (n (%)) Schizophrenia 35 (88) Other psychosis 5 (12)"".",possible,"eligible under A33 (all 40 clients had less than 1 year of contact with the ETHOS early intervention team at baseline, satisfying the first-treatment measure)","All 40 clients had less than 1 year of contact with the ETHOS early intervention team at baseline (duration_range_or_max), satisfying the A33 first-treatment measure.",A33 (A24 strict recorded in decision_a24_strict),"Same ETHOS service as Rinaldi 2010 (cohort_id SWL_IPS_SERVICE); this 40-client cohort is very likely a subset of the 166 clients reported for November 2001 to July 2006 in Rinaldi 2010, so the two reports must not be treated as independent. ETHOS (Wandsworth) also contributes to Tapfumaneyi 2015 (2003-2010)","Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),"eligible under A33 (all 40 clients had less than 1 year of contact with the ETHOS early intervention team at baseline, satisfying the first-treatment measure)"
R21,TAPFUMANEYI_2015,tapfumaneyi2015,TAPFUMANEYI_2015,10.1111/eip.12125,Tapfumaneyi,2015,Naturalistic 1-year follow-up cohort using the MiData audit package across seven early intervention services,"United Kingdom; seven inner-city London early intervention services (Brent, Camden and Islington, City and Hackney (EQUIP), Kensington Chelsea and Westminster, Lewisham, Southwark (STEP), Wandsworth (ETHOS)); community EIP",ICD-10 diagnosis at 1-year follow-up extracted from clinical records and confirmed with the EIS consultant psychiatrist; DUP measured with a shortened Nottingham Onset Schedule,n=1013 with diagnosis at 1 year: schizophrenia spectrum 703 (69.4%); bipolar/manic psychosis 90 (8.9%); depressive psychosis 81 (8.0%); other disorders 139 (13.7%),"8.9 (90 of 1013, bipolar/manic psychosis)",not reported (no substance-induced category reported; not listed as an exclusion),not reported,Duration of untreated psychosis (days from first positive psychotic symptom rated 4 or more on PANSS to start of an adequately adhered antipsychotic course),Median DUP 83 days; analysed dichotomously as under 6 months versus 6 months or more,DUP range 0-6059 days (up to about 16.6 years); the authors note a few cases of extremely long DUP,"FEP patients aged 14-35 with at least 7 days of psychotic symptoms consecutively referred and taken on for case management by seven London EIS between 2003 and 2010; inclusion criteria were service dependent and not standardised, based on a recent first presentation for affective or non-affective psychosis",14-35; mean age at referral 23.3 (SD 4.84),no,"Diagnostic counts are reported, but employment and education outcomes over follow-up are not cross-tabulated by diagnostic category, so no eligible-subgroup employment counts can be extracted","PDF p.2-3 (printed p.448), Method/Participants; PDF p.4 (printed p.450), Results","""The clinically recorded diagnosis at 1 year of follow up for the patients was as follows: 703 (69.4%) schizophrenia spectrum, 90 (8.9%) bipolar/manic psychosis, 81 (8.0%) depressive psychosis, and 139 (13.7%) other disorders."" ""The median DUP was 83 days (ranging from 0 to 6059 days).""",definite,eligible under A33 (FEP patients consecutively referred and taken on for case management by seven London early intervention services satisfy the first-treatment measure even though DUP reaches 6059 days; bipolar/manic psychosis and depressive psychosis both count as non-organic psychosis under A33),Consecutive new referrals to seven London early intervention services (stated_eligibility_window) satisfy the A33 first-treatment measure even though the DUP range reaches 6059 days; bipolar/manic psychosis (8.9%) and depressive psychosis (8.0%) count as eligible.,A33 (A24 strict recorded in decision_a24_strict),"Substantial. Camden and Islington are among the seven contributing teams, overlapping the 2003-2006 Camden/Islington cohort in Major 2010; Wandsworth (ETHOS) is the service reported in Rinaldi 2004 and Rinaldi 2010 (2001-2006). Do not treat Tapfumaneyi 2015 as independent of Major 2010 or the Rinaldi reports without adjudication","Claude Opus draft, 2026-09-06",RT,2026-09-10,,excluded from strict primary set (A24: compatibility not established from the publication),eligible under A33 (FEP patients consecutively referred and taken on for case management by seven London early intervention services satisfy the first-treatment measure even though DUP reaches 6059 days; bipolar/manic psychosis and depressive psychosis both count as non-organic psychosis under A33)
