study_key,first_author,print_year,title,journal,volume_issue_pages,doi,pmid_or_pmcid,filename,pages,role,verification_method,verified_date,notes
erickson2021,Erickson,2021,"""Individual Placement and Support"" boosts employment for early psychosis clients, even when baseline rates are high",Early Intervention in Psychiatry,15:662-668,10.1111/eip.13005,not_found,Erickson 2020.pdf,7,primary_ips_trial,first_page_text_pymupdf,2026-09-02,"Online and print years differ: accepted 24 May 2020 (filename uses 2020, the online year); printed citation on page 1 reads 'Early Intervention in Psychiatry. 2021;15:662-668', so print_year=2021. Matches included_studies_45.csv study_key erickson2021. Designated primary_ips_trial by explicit the registry conventions (Killackey 2008, Killackey 2019, Erickson 2021). Derived-data study_id_clean: ERICKSON_2021 (present in prevalence.csv; not in the strict k=10 primary set)."
fowler2019,Fowler,2019,Social Recovery Therapy in improving activity and social outcomes in early psychosis: Current evidence and longer term outcomes,Schizophrenia Research,203:99-104,10.1016/j.schres.2017.10.006,not_found,Fowler et al (2019) Social Recovery Therapy in improving activity and social outcomes in early psychosis.pdf,6,included_study_other,first_page_text_pymupdf,2026-09-02,"Print year 2019 confirmed by 'Schizophrenia Research 203 (2019) 99-104' on page 1 (received 5 June 2017, available online 22 October 2017). Matches included_studies_45.csv study_key fowler2019. Derived-data study_id_clean: FOWLER_2019 (present in prevalence.csv; not in the strict k=10 primary set)."
hegelstad2017,Hegelstad,2017,Preventing Poor Vocational Functioning in Psychosis Through Early Intervention,Psychiatric Services,68:100-103,10.1176/appi.ps.201500451,not_found,Hegelstad 2016-preventing-poor-vocational-functioning-in-psychosis-through-early-intervention.pdf,4,included_study_other,first_page_text_pymupdf,2026-09-02,"Print year 2017 confirmed by running header 'Psychiatric Services 68:1, January 2017' on pages 1-2 and by citation line 'Psychiatric Services 2017; 68:100-103'. Filename uses 2016, but no explicit online-first date is visible in the extracted first two pages of this particular PDF to independently confirm 2016 as the online year; print year 2017 is directly evidenced. Matches included_studies_45.csv study_key hegelstad2017 (Hegelstad et al. (2017)); in_meta_analysis=no in that file, so not present in employment-early-psychosis/data/derived/prevalence.csv (no matching study_id_clean). Note this is a distinct article/study_key from hegelstad2019 (the Job- and SchoolPrescription paper below)."
hegelstad2019,Hegelstad,2019,Job- and schoolprescription: A local adaptation to individual placement and support for first episode psychosis,Early Intervention in Psychiatry,13:859-866,10.1111/eip.12686,not_found,Hegelstad et al 2018.pdf,8,prevalence_primary_set,first_page_text_pymupdf,2026-09-02,"Online and print years differ: accepted 16 May 2018 (filename uses 2018, the online/acceptance year); printed citation on page 1 reads 'Early Intervention in Psychiatry. 2019;13:859-866', so print_year=2019. Matches included_studies_45.csv study_key hegelstad2019 (Hegelstad et al. (2019)). Derived-data study_id_clean: HEGELSTAD_2019 (in_primary_set=TRUE, one of the strict k=10 set)."
humensky2017,Humensky,2017,Characteristics Associated With the Pursuit of Work and School Among Participants in a Treatment Program for First Episode of Psychosis,Psychiatric Rehabilitation Journal,40(1):108-112,10.1037/prj0000256,not_found,Humensky et al (2017) Improving vocational outcomes in first-episode psychosis.pdf,5,included_study_other,first_page_text_pymupdf,2026-09-02,"Print year 2017 confirmed by '2017, Vol. 40, No. 1, 108-112' on page 1. Two DOI-like strings found on page 1: 10.1037/prj0000256.supp (link to online supplemental materials) and 10.1037/prj0000256 (the article itself); the article DOI 10.1037/prj0000256 is used and the .supp variant noted here. Matches included_studies_45.csv study_key humensky2017. Derived-data study_id_clean: HUMENSKY_2017 (present in prevalence.csv; not in the strict k=10 primary set)."
jackel2025,Jäckel,2025,"Efficacy of Individual Placement and Support (IPS) on Employment, Education, and Training in Young Adults With Early Psychosis-A Randomized Controlled Trial",Brain and Behavior,15:e70469,10.1002/brb3.70469,not_found,Jäckel 2025 - Efficacy of Individual Placement and Support  IPS  on Employment  Education  and.pdf,10,included_study_other,first_page_text_pymupdf,2026-09-02,"Print year 2025 confirmed by 'Brain and Behavior, 2025; 15:e70469' on page 1 (accepted 19 March 2025). Matches included_studies_45.csv study_key jackel2025 (Jäckel et al. (2025)); in_meta_analysis=no in that file, so not present in employment-early-psychosis/data/derived/prevalence.csv (no matching study_id_clean)."
killackey2008,Killackey,2008,Vocational intervention in first-episode psychosis: individual placement and support v. treatment as usual,The British Journal of Psychiatry,193:114-120,10.1192/bjp.bp.107.043109,not_found,Killackey 2008.pdf,7,primary_ips_trial,first_page_text_pymupdf,2026-09-02,"Print year 2008 confirmed by 'The British Journal of Psychiatry (2008) 193, 114-120' on page 1. Matches included_studies_45.csv study_key killackey2008. Designated primary_ips_trial by explicit the registry conventions. Derived-data study_id_clean: KILLACKEY_2008 (present in prevalence.csv; not in the strict k=10 primary set)."
killackey2019,Killackey,2019,Individual placement and support for vocational recovery in first-episode psychosis: randomised controlled trial,The British Journal of Psychiatry,214:76-82,10.1192/bjp.2018.191,not_found,Killackey et al (2019) Individual placement and support for vocational recovery in first-episode psychosis.pdf,7,primary_ips_trial,first_page_text_pymupdf,2026-09-02,"Print year 2019 confirmed by 'The British Journal of Psychiatry (2019) 214, 76-82' on page 1. Matches included_studies_45.csv study_key killackey2019. Designated primary_ips_trial by explicit the registry conventions. Derived-data study_id_clean: KILLACKEY_2019 (present in prevalence.csv; not in the strict k=10 primary set)."
lin2026,Lin,2026,"Clinical remission, functional recovery, and employment in early-phase schizophrenia treated with paliperidone palmitate: An 18-month longitudinal Asia-Pacific study",Psychiatry Research,358:116955,10.1016/j.psychres.2026.116955,not_found,"Lin et al (2026) Clinical remission, functional recovery, and employment in early-phase schizophrenia.pdf",8,included_study_other,first_page_text_pymupdf,2026-09-02,"Print year 2026 confirmed by 'Psychiatry Research 358 (2026) 116955' on page 1 (accepted 17 January 2026, available online 18 January 2026). Matches included_studies_45.csv study_key lin2026. Derived-data study_id_clean: LIN_2026 (present in prevalence.csv; not in the strict k=10 primary set)."
major2010,Major,2010,Evidence of the effectiveness of a specialist vocational intervention following first episode psychosis: a naturalistic prospective cohort study,Social Psychiatry and Psychiatric Epidemiology,45:1-8,10.1007/s00127-009-0034-4,not_found,Major et al (2010) Evidence of the effectiveness of a specialist vocational intervention following first episode psychosis.pdf,8,included_study_other,first_page_text_pymupdf,2026-09-02,Print year 2010 confirmed by 'Soc Psychiat Epidemiol (2010) 45:1-8' on page 1 (published online 21 March 2009). Matches included_studies_45.csv study_key major2010. Derived-data study_id_clean: MAJOR_2010 (present in prevalence.csv; not in the strict k=10 primary set).
nuechterlein2020,Nuechterlein,2020,Enhancing return to work or school after a first episode of schizophrenia: the UCLA RCT of Individual Placement and Support and Workplace Fundamentals Module training,Psychological Medicine,50:20-28,10.1017/S0033291718003860,not_found,Nuechterlein et al.pdf,9,active_comparator_sensitivity_trial,first_page_text_pymupdf,2026-09-02,"Print year 2020 confirmed by the 'Cite this article' box on page 1: 'Nuechterlein KH et al (2020). ... Psychological Medicine 50, 20-28', though the article was 'First published online 4 January 2019' (an online/print-year discrepancy visible on the same page). Matches included_studies_45.csv study_key nuechterlein2020. Designated active_comparator_sensitivity_trial per explicit the registry conventions. Derived-data study_id_clean: NUECHTERLEIN_2020 (present in prevalence.csv; not in the strict k=10 primary set)."
pothier2019,Pothier,2019,Determinants of occupational outcome in recent-onset psychosis: The role of cognition,Schizophrenia Research: Cognition,18:100158,10.1016/j.scog.2019.100158,not_found,"Pothier et al (2019) Determinants of occupational outcome in recent-onset psychosis, the role of cognition.pdf",7,prevalence_primary_set,first_page_text_pymupdf,2026-09-02,"Print year 2019 confirmed by 'Schizophrenia Research: Cognition 18 (2019) 100158' on page 1 (available online 19 August 2019). Matches included_studies_45.csv study_key pothier2019. Derived-data study_id_clean: POTHIER_2019 (in_primary_set=TRUE, one of the strict k=10 set)."
rinaldi2004,Rinaldi,2004,What are the benefits of evidence-based supported employment for patients with first-episode psychosis?,Psychiatric Bulletin,28:281-284,10.1192/pb.28.8.281,not_found,Rinaldi et al (2004) What are the benefits of evidence-based supported employment for patients with first-episode psychosis.pdf,4,included_study_other,first_page_text_pymupdf,2026-09-02,"Print year 2004 confirmed by 'Psychiatric Bulletin (2004), 28, 281-284' on page 1. Matches included_studies_45.csv study_key rinaldi2004. Derived-data study_id_clean: RINALDI_2004 (present in prevalence.csv; not in the strict k=10 primary set -- note this is a distinct study_key/article from rinaldi2010 below)."
rinaldi2010,Rinaldi,2010,The Individual Placement and Support approach to vocational rehabilitation for young people with first episode psychosis in the UK,Journal of Mental Health,19(6):483-491,10.3109/09638230903531100,not_found,Rinaldi et al (2010) The Individual Placement and Support approach to vocational rehabilitation for young people with first episode psychosis in the UK.pdf,9,prevalence_primary_set,first_page_text_pymupdf,2026-09-02,"Print year 2010 confirmed by 'Journal of Mental Health, December 2010; 19(6): 483-491' on page 1. Matches included_studies_45.csv study_key rinaldi2010. Derived-data study_id_clean: RINALDI_2010 (in_primary_set=TRUE, one of the strict k=10 set)."
rosenheck2017,Rosenheck,2017,"Supported employment and education in comprehensive, integrated care for first episode psychosis: Effects on work, school, and disability income",Schizophrenia Research,182:120-128,10.1016/j.schres.2016.09.024,not_found,"Rosenheck et al (2017) Supported employment and education in comprehensive, integrated care for first episode psychosis.pdf",9,prevalence_primary_set,first_page_text_pymupdf,2026-09-02,"Print year 2017 confirmed by 'Schizophrenia Research 182 (2017) 120-128' on page 1 (available online 23 September 2016). Matches included_studies_45.csv study_key rosenheck2017. Derived-data study_id_clean: ROSENHECK_2017 (in_primary_set=TRUE, one of the strict k=10 set)."
tapfumaneyi2015,Tapfumaneyi,2015,Predictors of vocational activity over the first year in inner-city early intervention in psychosis services,Early Intervention in Psychiatry,9:447-458,10.1111/eip.12125,not_found,Tapfumaneyi et al (2014) Predictors of vocational activity over the ﬁrstyear in inner-city early intervention inpsychosis services.pdf,12,included_study_other,first_page_text_pymupdf,2026-09-02,"Online and print years differ: accepted 20 December 2013 (filename uses 2014); printed citation on page 1 reads 'Early Intervention in Psychiatry 2015; 9: 447-458', so print_year=2015. Matches included_studies_45.csv study_key tapfumaneyi2015 (Tapfumaneyi et al. (2015)). Derived-data study_id_clean: TAPFUMANEYI_2015 (present in prevalence.csv; not in the strict k=10 primary set)."
turner2019,Turner,2019,Improving vocational recovery among people with psychosis: a two-pronged approach,Irish Journal of Occupational Therapy,47(2):114-123,10.1108/IJOT-12-2018-0023,not_found,Turner et al (2019) Improving vocational recovery among people with psychosis.pdf,10,included_study_other,first_page_text_pymupdf,2026-09-02,"Print year 2019 confirmed by 'Irish Journal of Occupational Therapy Vol. 47 No. 2, 2019, pp. 114-123' on page 1. Matches included_studies_45.csv study_key turner2019. Derived-data study_id_clean: TURNER_2019 (present in prevalence.csv; not in the strict k=10 primary set)."
vanduin2021,van Duin,2021,Effects of IPS plus cognitive remediation in early psychosis: 18-month functioning outcomes of a randomized controlled trial,Schizophrenia Research,236:115-122,10.1016/j.schres.2021.07.025,not_found,van Duin et al (2021) Effects of IPS plus cognitive remediation in early psychosis.pdf,8,prevalence_primary_set,first_page_text_pymupdf,2026-09-02,"Print year 2021 confirmed by 'Schizophrenia Research 236 (2021) 115-122' on page 1 (available online 3 September 2021). Matches included_studies_45.csv study_key vanduin2021. Derived-data study_id_clean: VANDUIN_2021 (in_primary_set=TRUE, one of the strict k=10 set)."
williams2016,Williams,2016,A review of job tenure under the Job in Jeopardy programme in first episode psychosis,British Journal of Occupational Therapy,pp.1-6 (volume/issue not stated on extracted pages),10.1177/0308022615625649,not_found,Williams et al (2016) A review of job tenure under the Job in Jeopardy programme in first episode psychosis.pdf,6,included_study_other,first_page_text_pymupdf,2026-09-02,"Print year 2016 confirmed by '(c) The Author(s) 2016' and article pagination '1-6' on page 1; no explicit volume/issue number is visible on the extracted first two pages (article appears to have been an early-access/online-first item at the point captured, paginated 1-6 rather than within a bound issue). Matches included_studies_45.csv study_key williams2016 (Williams & Lloyd (2016)). Derived-data study_id_clean: WILLIAMS_2016 (present in prevalence.csv; not in the strict k=10 primary set)."
